asset_tag,asset_name,category,status,location,item_lifespan,disposal_method,acquisition_date
IL-UPS-N/A-063,UPS(AWP),UPS(AWP),Assigned,REGISTRATION,5,,
IL-UPS-N/A-064,UPS(AWP),UPS(AWP),Assigned,REGISTRATION,5,,
IL-UPS-N/A-065,UPS(AWP),UPS(AWP),Assigned,REGISTRATION,5,,
IL-UPS-N/A-066,UPS(AWP),UPS(AWP),Assigned,101-ANNEX,5,,
IL-UPS-N/A-067,UPS(AWP),UPS(AWP),Assigned,102-ANNEX,5,,
IL-UPS-N/A-068,UPS(AWP),UPS(AWP),Assigned,103-ANNEX,5,,
IL-UPS-N/A-069,UPS(AWP),UPS(AWP),Assigned,104-ANNEX,5,,
IL-UPS-N/A-070,UPS(AWP),UPS(AWP),Assigned,105-ANNEX,5,,
IL-UPS-N/A-071,UPS(AWP),UPS(AWP),Assigned,106-ANNEX,5,,
IL-UPS-N/A-072,UPS(AWP),UPS(AWP),Assigned,107-ANNEX,5,,
IL-UPS-N/A-073,UPS(AWP),UPS(AWP),Assigned,TRAINING-ANNEX,5,,
IL-UPS-N/A-074,UPS(AWP),UPS(AWP),Assigned,REGISTRATION,5,,
IL-UPS-N/A-075,UPS(AWP),UPS(AWP),Assigned,REGISTRATION,5,,
IL-UPS-N/A-076,UPS(AWP),UPS(AWP),Assigned,BRIDGE 3,5,,
IL-UPS-N/A-077,UPS(CYBERPOWER),UPS(CYBERPOWER),Assigned,INSTRUCTOR BRIDGE,5,,
IL-UPS-N/A-078,UPS(EMERSON),UPS(EMERSON),Assigned,INSTRUCTOR BRIDGE,5,,
IL-UPS-N/A-079,UPS(AWP),UPS(AWP),Assigned,ROOM 104,5,,
IL-UPS-N/A-080,UPS(AWP),UPS(AWP),Assigned,PAD SERVER,5,,
IL-UPS-N/A-081,UPS(INTEX),UPS(INTEX),Assigned,PAD SERVER,5,,
IL-UPS-N/A-082,UPS(INTEX),UPS(INTEX),Assigned,PAD SERVER,5,,
IL-UPS-N/A-083,UPS(AWP),UPS(AWP),Assigned,PAD SERVER,5,,
IL-UPS-N/A-084,UPS(CYBERPOWER),UPS(CYBERPOWER),Assigned,PAD SERVER,5,,
IL-UPS-N/A-085,UPS(APC),UPS(APC),Assigned,FMB,5,,
IL-UPS-N/A-086,UPS(APC),UPS(APC),Assigned,FMB,5,,
IL-UPS-N/A-087,UPS(APC),UPS(APC),Assigned,FMB,5,,
IL-UPS-N/A-088,UPS(APC),UPS(APC),Assigned,FMB,5,,
